STATISTIC,Statistic Label,TLIST(A1),Year,C04313V05092,Type of Expenditure on Education,UNIT,VALUE
CEPHA18C01,Government Expenditure on Education,1929,1929,210,Total Universities and Colleges,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,220,Total Dublin Institute for Advanced Studies,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,230,Total Science and Art,£,32905
CEPHA18C01,Government Expenditure on Education,1929,1929,240,Total Reformatory and Industrial Schools,£,112953
CEPHA18C01,Government Expenditure on Education,1929,1929,250,Total Education Expenditure,£,4459521
CEPHA18C01,Government Expenditure on Education,1929,1929,260,First Level Education,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,270,Second Level Education (Post Primary),£,
CEPHA18C01,Government Expenditure on Education,1929,1929,280,Third Level Education (Higher Education),£,
CEPHA18C01,Government Expenditure on Education,1929,1929,290,Office of the Minister for Education,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,300,Department of Education Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,310,Residential Homes and Special Schools,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,320,Other Government Departments,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,330,Total Gross Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,340,Total Appropropriations in Aid,£,
CEPHA18C01,Government Expenditure on Education,1929,1929,350,Total Net Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1930,1930,100,Administration,£,163704
CEPHA18C01,Government Expenditure on Education,1930,1930,110,Teacher Training - Primary Education,£,95449
CEPHA18C01,Government Expenditure on Education,1930,1930,120,Teacher Salary - Primary Education,£,3406156
CEPHA18C01,Government Expenditure on Education,1930,1930,130,Teacher Pension - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1930,1930,135,Teacher Pension (Grants in Aid) - Primary Education,£,66906
CEPHA18C01,Government Expenditure on Education,1930,1930,140,Miscellaneous - Primary Education,£,26332
CEPHA18C01,Government Expenditure on Education,1930,1930,150,Appropriations in Aid (deduct) - Primary Education,£,7276
CEPHA18C01,Government Expenditure on Education,1930,1930,160,Total Primary Education,£,3587567
CEPHA18C01,Government Expenditure on Education,1930,1930,170,Total Secondary Education,£,331579
CEPHA18C01,Government Expenditure on Education,1930,1930,180,State funds - Technical (Vocational),£,188078
CEPHA18C01,Government Expenditure on Education,1930,1930,190,Local rates - Technical (Vocational),£,68844
CEPHA18C01,Government Expenditure on Education,1930,1930,200,Total Technical (Vocational),£,256922
CEPHA18C01,Government Expenditure on Education,1930,1930,210,Total Universities and Colleges,£,
CEPHA18C01,Government Expenditure on Education,1930,1930,220,Total Dublin Institute for Advanced Studies,£,
CEPHA18C01,Government Expenditure on Education,1930,1930,230,Total Science and Art,£,31742
CEPHA18C01,Government Expenditure on Education,1930,1930,240,Total Reformatory and Industrial Schools,£,114238
CEPHA18C01,Government Expenditure on Education,1930,1930,250,Total Education Expenditure,£,4485752
CEPHA18C01,Government Expenditure on Education,1930,1930,260,First Level Education,£,
CEPHA18C01,Government Expenditure on Education,1930,1930,270,Second Level Education (Post Primary),£,
CEPHA18C01,Government Expenditure on Education,1930,1930,280,Third Level Education (Higher Education),£,
CEPHA18C01,Government Expenditure on Education,1930,1930,290,Office of the Minister for Education,£,
CEPHA18C01,Government Expenditure on Education,1930,1930,300,Department of Education Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1930,1930,310,Residential Homes and Special Schools,£,
CEPHA18C01,Government Expenditure on Education,1930,1930,320,Other Government Departments,£,
CEPHA18C01,Government Expenditure on Education,1930,1930,330,Total Gross Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1930,1930,340,Total Appropropriations in Aid,£,
CEPHA18C01,Government Expenditure on Education,1930,1930,350,Total Net Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1931,1931,100,Administration,£,160248
CEPHA18C01,Government Expenditure on Education,1931,1931,110,Teacher Training - Primary Education,£,97441
CEPHA18C01,Government Expenditure on Education,1931,1931,120,Teacher Salary - Primary Education,£,3429251
CEPHA18C01,Government Expenditure on Education,1931,1931,130,Teacher Pension - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1931,1931,135,Teacher Pension (Grants in Aid) - Primary Education,£,69776
CEPHA18C01,Government Expenditure on Education,1931,1931,140,Miscellaneous - Primary Education,£,26605
CEPHA18C01,Government Expenditure on Education,1931,1931,150,Appropriations in Aid (deduct) - Primary Education,£,8344
CEPHA18C01,Government Expenditure on Education,1931,1931,160,Total Primary Education,£,3614729
CEPHA18C01,Government Expenditure on Education,1931,1931,170,Total Secondary Education,£,350425
CEPHA18C01,Government Expenditure on Education,1931,1931,180,State funds - Technical (Vocational),£,195251
CEPHA18C01,Government Expenditure on Education,1931,1931,190,Local rates - Technical (Vocational),£,71634
CEPHA18C01,Government Expenditure on Education,1931,1931,200,Total Technical (Vocational),£,266885
CEPHA18C01,Government Expenditure on Education,1931,1931,210,Total Universities and Colleges,£,
CEPHA18C01,Government Expenditure on Education,1931,1931,220,Total Dublin Institute for Advanced Studies,£,
CEPHA18C01,Government Expenditure on Education,1931,1931,230,Total Science and Art,£,38751
CEPHA18C01,Government Expenditure on Education,1931,1931,240,Total Reformatory and Industrial Schools,£,116854
CEPHA18C01,Government Expenditure on Education,1931,1931,250,Total Education Expenditure,£,4547892
CEPHA18C01,Government Expenditure on Education,1931,1931,260,First Level Education,£,
CEPHA18C01,Government Expenditure on Education,1931,1931,270,Second Level Education (Post Primary),£,
CEPHA18C01,Government Expenditure on Education,1931,1931,280,Third Level Education (Higher Education),£,
CEPHA18C01,Government Expenditure on Education,1931,1931,290,Office of the Minister for Education,£,
CEPHA18C01,Government Expenditure on Education,1931,1931,300,Department of Education Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1931,1931,310,Residential Homes and Special Schools,£,
CEPHA18C01,Government Expenditure on Education,1931,1931,320,Other Government Departments,£,
CEPHA18C01,Government Expenditure on Education,1931,1931,330,Total Gross Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1931,1931,340,Total Appropropriations in Aid,£,
CEPHA18C01,Government Expenditure on Education,1931,1931,350,Total Net Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1932,1932,100,Administration,£,159329
CEPHA18C01,Government Expenditure on Education,1932,1932,110,Teacher Training - Primary Education,£,100219
CEPHA18C01,Government Expenditure on Education,1932,1932,120,Teacher Salary - Primary Education,£,3433495
CEPHA18C01,Government Expenditure on Education,1932,1932,130,Teacher Pension - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1932,1932,135,Teacher Pension (Grants in Aid) - Primary Education,£,73460
CEPHA18C01,Government Expenditure on Education,1932,1932,140,Miscellaneous - Primary Education,£,24396
CEPHA18C01,Government Expenditure on Education,1932,1932,150,Appropriations in Aid (deduct) - Primary Education,£,8763
CEPHA18C01,Government Expenditure on Education,1932,1932,160,Total Primary Education,£,3622807
CEPHA18C01,Government Expenditure on Education,1932,1932,170,Total Secondary Education,£,367470
CEPHA18C01,Government Expenditure on Education,1932,1932,180,State funds - Technical (Vocational),£,206453
CEPHA18C01,Government Expenditure on Education,1932,1932,190,Local rates - Technical (Vocational),£,99401
CEPHA18C01,Government Expenditure on Education,1932,1932,200,Total Technical (Vocational),£,305854
CEPHA18C01,Government Expenditure on Education,1932,1932,210,Total Universities and Colleges,£,
CEPHA18C01,Government Expenditure on Education,1932,1932,220,Total Dublin Institute for Advanced Studies,£,
